#k-distance frequency[THz]
0.12550873 0.69372770
0.12815227 0.67348383
0.13079581 0.65453552
0.13343934 0.63699096
0.13608288 0.62090706
0.13872643 0.60628589
0.14136997 0.59307036
0.14401351 0.58114914
0.14401351 0.58114914
0.14660771 0.59238448
0.14920193 0.60137833
0.15179614 0.60801722
0.15439036 0.61216406
0.15698456 0.61369999
0.15957878 0.61252816
0.16217299 0.60857637
0.16476720 0.60179865
0.16736142 0.59217623
0.16995562 0.57971818
0.17254984 0.56446235
0.17514405 0.54647667
0.17773827 0.52586148
0.18033247 0.50275297
0.18292668 0.47732833
0.18552090 0.44981315
0.18811511 0.42049241
0.19070933 0.38972705
0.19330353 0.35797923
0.19589775 0.32585169
0.19849196 0.29414839
0.20108616 0.26396319
0.20368038 0.23679166
0.20627459 0.21461192
0.20886881 0.19976682
0.21146302 0.19438877
0.21405724 0.19942592
0.21665144 0.21401369
0.21665144 0.21401369
0.21929498 0.17367370
0.22193852 0.11423613
0.22458207 -0.07359422
0.22722560 -0.15853555
0.22986914 -0.21445866
0.23251268 -0.26053248
0.23515621 -0.30111035
0.23779975 -0.33799596
0.24044330 -0.37212462
0.24308684 -0.40404727
0.24573038 -0.43411770
0.24837391 -0.46257862
0.25101745 -0.48960573
0.25366100 -0.51533175
0.25630454 -0.53985946
0.25894808 -0.56326736
0.26159161 -0.58560821
0.26423515 -0.60689472
0.26687870 -0.62703573
0.26952224 -0.64538608
0.27216578 -0.65923697
0.27480931 -0.66923945
0.27745285 -0.67712664
0.28009639 -0.68318811
0.28273994 -0.68749229
0.28538347 -0.69006635
0.28802701 -0.69092307
0.28802701 -0.69129613
0.29067038 -0.68976767
0.29331375 -0.68535810
0.29595711 -0.67837283
0.29860050 -0.66900265
0.30124387 -0.65733822
0.30388723 -0.64345264
0.30653060 -0.62743411
0.30917397 -0.60937304
0.31181733 -0.58933444
0.31446070 -0.56733564
0.31710407 -0.54333396
0.31974745 -0.51722092
0.32239082 -0.48881603
0.32503419 -0.45785288
0.32767756 -0.42394808
0.33032092 -0.38653606
0.33296429 -0.34473093
0.33560766 -0.29700431
0.33825102 -0.24027817
0.34089441 -0.16621043
0.34353778 0.04336469
0.34618114 0.17477687
0.34882451 0.24110136
0.35146788 0.29048540
0.35411124 0.33021954
0.35675461 0.36303931
0.35939798 0.38907069
0.36204137 0.38957926
0.36468473 0.38158011
0.36732810 0.37706540
0.36997147 0.37622928
0.37261483 0.37864709
0.37525820 0.38365294
0.37790157 0.39044401
0.38054493 0.39813817
0.38318832 0.40579577
0.38583169 0.41241910
0.38847505 0.41698541
0.39111842 0.41862728
0.39111842 0.41862728
0.39371263 0.42048247
0.39630685 0.42599476
0.39890105 0.43501032
0.40149527 0.44729080
0.40408948 0.46253452
0.40668370 0.48039725
0.40927791 0.50050791
0.41187211 0.52247690
0.41446633 0.54589725
0.41706054 0.57034039
0.41965476 0.59535035
0.42224896 0.62044063
0.42484318 0.64509811
0.42743739 0.66879635
0.43003159 0.69101785
0.43262582 0.71128146
0.43522002 0.72916889
0.43781424 0.74434504
0.44040845 0.75656821
0.44300267 0.76569023
0.44559687 0.77164822
0.44819108 0.77445111
0.45078530 0.77416367
0.45337950 0.77088973
0.45597373 0.76475592
0.45856793 0.75589756
0.46116215 0.74446249
0.46375636 0.74946159
0.46375636 0.74946159
0.46639989 0.75495027
0.46904343 0.76586715
0.47168698 0.77757081
0.47433052 0.78939781
0.47697406 0.80115683
0.47961759 0.81275697
0.48226113 0.82414235
0.48490467 0.83527475
0.48754822 0.84612757
0.49019176 0.85668316
0.49283529 0.86693097
0.49547883 0.87686588
0.49812237 0.88648592
0.50076592 0.89578938
0.50340945 0.90477061
0.50605299 0.91341425
0.50869653 0.92168635
0.51134007 0.92952049
0.51398362 0.93679351
0.51662715 0.94328105
0.51927069 0.94857224
0.52191423 0.95191001
0.52455777 0.95194204
0.52720130 0.94659206
0.52984485 0.93385670
0.53248839 0.91372994
0.53513193 0.89183490
0.53513193 0.89183490
0.53772613 0.90347756
0.54032035 0.91588086
0.54291456 0.92454779
0.54550878 0.92776392
0.54810299 0.92547762
0.55069721 0.91888743
0.55329141 0.90922684
0.55588562 0.89778247
0.55847984 0.88541657
0.56107404 0.87255542
0.56366826 0.85943446
0.56626247 0.84620368
0.56885669 0.83297576
0.57145090 0.81984957
0.57404510 0.80692185
0.57663932 0.79429292
0.57923353 0.78206910
0.58182775 0.77036320
0.58442195 0.75929358
0.58701617 0.74898238
0.58961038 0.73955292
0.59220458 0.73112653
0.59479880 0.72381892
0.59739301 0.71773629
0.59998723 0.71297137
0.60258144 0.70959971
0.60517566 0.70767626
0.60776986 0.70722012
0.60776986 0.70722012
0.61041323 0.70670695
0.61305660 0.70517284
0.61569996 0.70263447
0.61834335 0.69911953
0.62098672 0.69466663
0.62363008 0.68932469
0.62627345 0.68315205
0.62891682 0.67621497
0.63156018 0.66858551
0.63420355 0.66033893
0.63684692 0.65155043
0.63949031 0.64229026
0.64213367 0.63262129
0.64477704 0.62259696
0.64742041 0.61225204
0.65006377 0.60160045
0.65270714 0.59063182
0.65535051 0.57930918
0.65799387 0.56756848
0.66063726 0.55532047
0.66328063 0.54245534
0.66592400 0.52885010
0.66856736 0.51437831
0.67121073 0.49892131
0.67385410 0.48237952
0.67649746 0.46468273
0.67914083 0.44579837
0.68178422 0.42573759
0.68442758 0.40455994
0.68707095 0.38237831
0.68971432 0.35936708
0.69235768 0.33577767
0.69500105 0.31196792
0.69764442 0.28845375
0.70028778 0.26599112
0.70293117 0.24568282
0.70557454 0.22905480
0.70821791 0.21794650
0.71086127 0.21401369

0.00000000 -0.00000002
0.00259421 0.02823578
0.00518843 0.05858252
0.00778263 0.08869449
0.01037685 0.11897489
0.01297106 0.14962081
0.01556528 0.18081657
0.01815948 0.21277430
0.02075369 0.24575149
0.02334791 0.28006074
0.02594212 0.31607049
0.02853634 0.35418933
0.03113054 0.39482339
0.03372476 0.43829903
0.03631897 0.48475994
0.03891317 0.53407647
0.04150739 0.58139654
0.04410160 0.61761283
0.04669582 0.68664066
0.04929003 0.74799491
0.05188425 0.80296941
0.05447845 0.85704105
0.05707266 0.91007507
0.05966688 0.95682569
0.06226108 0.94043583
0.06485530 0.92327096
0.06744951 0.90547203
0.07004373 0.88704819
0.07263794 0.86799960
0.07263794 0.86799960
0.07528147 0.86907279
0.07792501 0.87202293
0.08056856 0.87670165
0.08321210 0.88284364
0.08585563 0.89004040
0.08849917 0.89770395
0.09114271 0.90500744
0.09378625 0.91081659
0.09642980 0.91369334
0.09907333 0.91216516
0.10171687 0.90535534
0.10436041 0.89348646
0.10700394 0.87763044
0.10964750 0.85904561
0.11229103 0.83876686
0.11493457 0.81752643
0.11757811 0.79580934
0.12022164 0.77392461
0.12286520 0.75205978
0.12550873 0.73031799
0.12815227 0.70874293
0.13079581 0.68733594
0.13343934 0.66606811
0.13608288 0.64488886
0.13872643 0.62373160
0.14136997 0.60251718
0.14401351 0.58122452
0.14401351 0.58122452
0.14660771 0.60038845
0.14920193 0.61746133
0.15179614 0.63211914
0.15439036 0.64417815
0.15698456 0.65348801
0.15957878 0.65993589
0.16217299 0.66344737
0.16476720 0.66398464
0.16736142 0.66154255
0.16995562 0.65614354
0.17254984 0.64783251
0.17514405 0.63667240
0.17773827 0.62274089
0.18033247 0.60612876
0.18292668 0.58693977
0.18552090 0.56529219
0.18811511 0.54132193
0.19070933 0.51518738
0.19330353 0.48707613
0.19589775 0.45721435
0.19849196 0.42587975
0.20108616 0.39342039
0.20368038 0.36028241
0.20627459 0.32705215
0.20886881 0.29451978
0.21146302 0.26377081
0.21405724 0.23629861
0.21665144 0.21414274
0.21665144 0.21414274
0.21929498 0.24488597
0.22193852 0.26928065
0.22458207 0.28879417
0.22722560 0.30429735
0.22986914 0.31633659
0.23251268 0.32527759
0.23515621 0.33137611
0.23779975 0.33481645
0.24044330 0.33573406
0.24308684 0.33422971
0.24573038 0.33037898
0.24837391 0.32423912
0.25101745 0.31585454
0.25366100 0.30526172
0.25630454 0.29249392
0.25894808 0.27758624
0.26159161 0.26058089
0.26423515 0.24153286
0.26687870 0.22051564
0.26952224 0.19762674
0.27216578 0.17299233
0.27480931 0.14677044
0.27745285 0.11915179
0.28009639 0.09035648
0.28273994 0.06061983
0.28538347 0.03010934
0.28802701 -0.00000007
0.28802701 -0.00000004
0.29067038 -0.08504053
0.29331375 -0.10388353
0.29595711 -0.10271545
0.29860050 -0.08028088
0.30124387 0.03889186
0.30388723 0.11503316
0.30653060 0.16895978
0.30917397 0.21728087
0.31181733 0.26248384
0.31446070 0.30528455
0.31710407 0.34585044
0.31974745 0.38409596
0.32239082 0.41976379
0.32503419 0.45242643
0.32767756 0.48144352
0.33032092 0.50589662
0.33296429 0.52455391
0.33560766 0.53599689
0.33825102 0.53908388
0.34089441 0.53366331
0.34353778 0.52093050
0.34618114 0.50299909
0.34882451 0.48215671
0.35146788 0.46041450
0.35411124 0.43941401
0.35675461 0.42054077
0.35939798 0.40607713
0.36204137 0.41627467
0.36468473 0.43503573
0.36732810 0.45081250
0.36997147 0.46346684
0.37261483 0.47318044
0.37525820 0.48017885
0.37790157 0.48472878
0.38054493 0.48716613
0.38318832 0.48793574
0.38583169 0.48762966
0.38847505 0.48697365
0.39111842 0.48665523
0.39111842 0.48665523
0.39371263 0.48819842
0.39630685 0.49279124
0.39890105 0.50032607
0.40149527 0.51063163
0.40408948 0.52348290
0.40668370 0.53861167
0.40927791 0.55571550
0.41187211 0.57446398
0.41446633 0.59450208
0.41706054 0.61545118
0.41965476 0.63690965
0.42224896 0.65845473
0.42484318 0.67964775
0.42743739 0.70004376
0.43003159 0.71920566
0.43262582 0.73672138
0.43522002 0.75222204
0.43781424 0.76539819
0.44040845 0.77601186
0.44300267 0.78390241
0.44559687 0.78898506
0.44819108 0.79124273
0.45078530 0.79071265
0.45337950 0.78747080
0.45597373 0.78161644
0.45856793 0.77325879
0.46116215 0.76250647
0.46375636 0.74946827
0.46375636 0.74946827
0.46639989 0.75923396
0.46904343 0.77385726
0.47168698 0.78885758
0.47433052 0.80355480
0.47697406 0.81772883
0.47961759 0.83127035
0.48226113 0.84411855
0.48490467 0.85624379
0.48754822 0.86764090
0.49019176 0.87832537
0.49283529 0.88833022
0.49547883 0.89770263
0.49812237 0.90650010
0.50076592 0.91478567
0.50340945 0.92262182
0.50605299 0.93006227
0.50869653 0.93714033
0.51134007 0.94385079
0.51398362 0.95011988
0.51662715 0.95575108
0.51927069 0.96032131
0.52191423 0.96297824
0.52455777 0.96209902
0.52720130 0.95510617
0.52984485 0.93971228
0.53248839 0.91648796
0.53513193 0.89194556
0.53513193 0.89194556
0.53772613 0.90411225
0.54032035 0.91665347
0.54291456 0.92517223
0.54550878 0.92858693
0.54810299 0.92633725
0.55069721 0.91956280
0.55329141 0.91026249
0.55588562 0.89951818
0.55847984 0.88784914
0.56107404 0.87560071
0.56366826 0.86299149
0.56626247 0.85017064
0.56885669 0.83725405
0.57145090 0.82434444
0.57404510 0.81154229
0.57663932 0.79895144
0.57923353 0.78668171
0.58182775 0.77484953
0.58442195 0.76357730
0.58701617 0.75299167
0.58961038 0.74322108
0.59220458 0.73439269
0.59479880 0.72662885
0.59739301 0.72004315
0.59998723 0.71473655
0.60258144 0.71079352
0.60517566 0.70827872
0.60776986 0.70724708
0.60776986 0.70724708
0.61041323 0.70673363
0.61305660 0.70519868
0.61569996 0.70265893
0.61834335 0.69914216
0.62098672 0.69468699
0.62363008 0.68934244
0.62627345 0.68316693
0.62891682 0.67622676
0.63156018 0.66859409
0.63420355 0.66034424
0.63684692 0.65155246
0.63949031 0.64229146
0.64213367 0.63262563
0.64477704 0.62260432
0.64742041 0.61226226
0.65006377 0.60161336
0.65270714 0.59064724
0.65535051 0.57932691
0.65799387 0.56758836
0.66063726 0.55534234
0.66328063 0.54247908
0.66592400 0.52887562
0.66856736 0.51440560
0.67121073 0.49895042
0.67385410 0.48241058
0.67649746 0.46471599
0.67914083 0.44583419
0.68178422 0.42577646
0.68442758 0.40460251
0.68707095 0.38242541
0.68971432 0.35941974
0.69235768 0.33583716
0.69500105 0.31203574
0.69764442 0.28853160
0.70028778 0.26608072
0.70293117 0.24578541
0.70557454 0.22917018
0.70821791 0.21807176
0.71086127 0.21414274

0.00000000 0.00000004
0.00259421 0.04119856
0.00518843 0.08086300
0.00778263 0.12058531
0.01037685 0.16006634
0.01297106 0.19915737
0.01556528 0.23774635
0.01815948 0.27573772
0.02075369 0.31304768
0.02334791 0.34960323
