#k-distance frequency[THz]
0.50267627 0.93954286
0.50526894 0.94316970
0.50786159 0.94597484
0.51045426 0.94803320
0.51304691 0.94942645
0.51563958 0.95022813
0.51823223 0.95048927
0.51823223 0.95048927
0.52084109 0.95010574
0.52344996 0.94896791
0.52605883 0.94711352
0.52866769 0.94460329
0.53127658 0.94151819
0.53388545 0.93795632
0.53649432 0.93403105
0.53910318 0.92987135
0.54171205 0.92562394
0.54432092 0.92145383
0.54692979 0.91753699
0.54953865 0.91404042
0.55214752 0.91109413
0.55475641 0.90876910
0.55736528 0.90707355
0.55997414 0.90596712
0.56258301 0.90538141
0.56519188 0.90523692
0.56780074 0.90545308
0.57040961 0.90595292
0.57301848 0.90666540
0.57562734 0.90752782
0.57823623 0.90849007
0.58084510 0.90952231
0.58345397 0.91062785
0.58606283 0.91186275
0.58867170 0.91336141
0.59128057 0.91535906
0.59388943 0.91818533
0.59649830 0.92219125
0.59910717 0.92760703
0.60171606 0.93441697
0.60432493 0.94235468
0.60693379 0.95100280
0.60954266 0.95990051
0.61215153 0.96860834
0.61476039 0.97674110
0.61736926 0.98399348
0.61997813 0.99016654
0.62258699 0.99518262
0.62519588 0.99907158
0.62780475 1.00192958
0.63041362 1.00387119
0.63302248 1.00499415
0.63563135 1.00536131
0.63563135 1.00536131
0.63822400 0.99381445
0.64081667 0.98142241
0.64340932 0.96893815
0.64600199 0.95693881
0.64859464 0.94590272
0.65118730 0.93622627
0.65377996 0.92822170
0.65637261 0.92211545
0.65896527 0.91805424
0.66155793 0.91611863
0.66415059 0.91633990
0.66674324 0.91871416
0.66933591 0.92320818
0.67192856 0.92975406
0.67452121 0.93823363
0.67711388 0.94557137
0.67970653 0.94097520
0.68229920 0.93675415
0.68489185 0.93291360
0.68748452 0.92945837
0.69007717 0.92639319
0.69266982 0.92372285
0.69526249 0.92145228
0.69785514 0.91958632
0.70044781 0.91812953
0.70304046 0.91708584
0.70563312 0.91645833
0.70822578 0.91624894
0.70822578 0.91624894
0.71085180 0.91343402
0.71347783 0.90586504
0.71610386 0.89543387
0.71872989 0.88397193
0.72135592 0.87288336
0.72398194 0.86322007
0.72660797 0.85582336
0.72923400 0.85140590
0.73186003 0.85053962
0.73448606 0.85354476
0.73711209 0.86035313
0.73973811 0.87049377
0.74236414 0.88325446
0.74499017 0.89789174
0.74761620 0.91375903
0.75024223 0.93034026
0.75286826 0.94723434
0.75549428 0.96412618
0.75812031 0.98075830
0.76074634 0.99690488
0.76337237 1.01234264
0.76599840 1.02678577
0.76862442 1.03177876
0.77125045 1.03613208
0.77387648 1.03897286

0.00000000 0.74342045
0.00259265 0.72523755
0.00518532 0.72548912
0.00777797 0.72603399
0.01037064 0.74529805
0.01296329 0.74673916
0.01555595 0.74880423
0.01814861 0.75160159
0.02074126 0.75521512
0.02333392 0.75969879
0.02592658 0.76507498
0.02851924 0.77133569
0.03111189 0.77844574
0.03370456 0.78634730
0.03629721 0.79496533
0.03888986 0.80421383
0.04148253 0.81400269
0.04407518 0.82424490
0.04666785 0.83486348
0.04926050 0.84579697
0.05185317 0.85700219
0.05444582 0.84552209
0.05703847 0.82550886
0.05963114 0.80605983
0.06222379 0.78737027
0.06481646 0.76960501
0.06740911 0.75287667
0.07000177 0.73721471
0.07259443 0.72253794
0.07259443 0.72253794
0.07520329 0.72334822
0.07781216 0.72577968
0.08042103 0.72983144
0.08302989 0.73549314
0.08563878 0.74273235
0.08824765 0.75147942
0.09085652 0.76161342
0.09346538 0.77295359
0.09607425 0.78526020
0.09868312 0.79824570
0.10129198 0.81159384
0.10390085 0.82498229
0.10650972 0.83810435
0.10911861 0.85068641
0.11172747 0.86249921
0.11433634 0.87336263
